"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","6,628.14","6,641.81","6,709.86","6,628.14","13.92B","-0.21%"
"03/14/2023","6,641.81","6,786.67","6,786.67","6,635.38","16.66B","-2.14%"
"03/13/2023","6,786.96","6,765.02","6,812.87","6,727.44","14.18B","0.32%"
"03/10/2023","6,765.30","6,799.79","6,799.79","6,741.41","13.17B","-0.51%"
"03/09/2023","6,799.79","6,776.37","6,824.66","6,776.37","11.32B","0.35%"
"03/08/2023","6,776.37","6,766.76","6,776.37","6,728.19","14.41B","0.14%"
"03/07/2023","6,766.76","6,806.86","6,812.96","6,758.00","14.04B","-0.59%"
"03/06/2023","6,807.00","6,813.92","6,856.57","6,801.19","13.71B","-0.10%"
"03/03/2023","6,813.64","6,857.42","6,884.12","6,804.48","11.87B","-0.64%"
"03/02/2023","6,857.42","6,845.08","6,875.10","6,841.86","13.61B","0.18%"
"03/01/2023","6,844.94","6,843.10","6,889.51","6,833.19","14.63B","0.02%"
"02/28/2023","6,843.24","6,854.78","6,890.35","6,843.24","16.79B","-0.17%"
"02/27/2023","6,854.78","6,856.58","6,871.11","6,819.87","12.76B","-0.03%"
"02/24/2023","6,856.58","6,839.45","6,880.31","6,839.45","13.03B","0.25%"
"02/23/2023","6,839.45","6,810.11","6,839.45","6,807.00","12.45B","0.43%"
"02/22/2023","6,809.97","6,873.26","6,875.39","6,781.23","14.92B","-0.92%"
"02/21/2023","6,873.40","6,894.72","6,923.67","6,870.91","14.42B","-0.31%"
"02/20/2023","6,894.72","6,895.86","6,910.50","6,863.67","17.59B","-0.01%"
"02/17/2023","6,895.71","6,895.66","6,919.09","6,868.28","18.01B","0.00%"
"02/16/2023","6,895.66","6,914.54","6,933.28","6,875.30","17.36B","-0.27%"
"02/15/2023","6,914.54","6,941.85","6,946.03","6,872.87","14.85B","-0.39%"
"02/14/2023","6,941.85","6,900.14","6,941.85","6,900.14","16.28B","0.60%"
"02/13/2023","6,900.14","6,880.33","6,915.14","6,871.88","21.39B","0.29%"
"02/10/2023","6,880.33","6,895.24","6,895.24","6,803.42","14.08B","-0.25%"
"02/09/2023","6,897.37","6,940.12","6,961.15","6,896.04","17.67B","-0.62%"
"02/08/2023","6,940.12","6,935.30","6,961.92","6,912.11","17.27B","0.07%"
"02/07/2023","6,935.30","6,873.79","6,946.23","6,873.79","17.31B","0.89%"
"02/06/2023","6,873.79","6,911.73","6,924.88","6,835.76","14.35B","-0.55%"
"02/03/2023","6,911.73","6,890.71","6,951.97","6,890.71","20.29B","0.31%"
"02/02/2023","6,890.57","6,862.26","6,896.73","6,855.37","18.92B","0.41%"
"02/01/2023","6,862.26","6,838.92","6,893.18","6,838.92","14.59B","0.34%"
"01/31/2023","6,839.34","6,872.52","6,880.96","6,827.24","15.18B","-0.48%"
"01/30/2023","6,872.48","6,899.02","6,925.47","6,834.08","13.47B","-0.38%"
"01/27/2023","6,898.98","6,864.82","6,932.71","6,864.82","14.92B","0.50%"
"01/26/2023","6,864.82","6,829.97","6,874.87","6,815.79","17.11B","0.51%"
"01/25/2023","6,829.93","6,860.85","6,871.36","6,821.28","18.79B","-0.45%"
"01/24/2023","6,860.85","6,874.93","6,906.79","6,841.01","19.68B","-0.20%"
"01/20/2023","6,874.93","6,819.91","6,874.93","6,819.53","17.38B","0.81%"
"01/19/2023","6,819.91","6,765.75","6,820.98","6,754.55","15.42B","0.80%"
"01/18/2023","6,765.79","6,767.18","6,790.16","6,721.46","19.50B","-0.02%"
"01/17/2023","6,767.34","6,688.06","6,801.87","6,688.06","21.76B","1.19%"
"01/16/2023","6,688.06","6,641.83","6,688.06","6,627.70","15.49B","0.70%"
